,date,actions,transactions
661,2012-05-25,[-1.],[0.]
662,2012-05-28,[-1.],[0.]
663,2012-05-29,[-1.],[0.]
664,2012-05-30,[-1.],[0.]
665,2012-05-31,[-1.],[0.]
666,2012-06-01,[-1.],[0.]
667,2012-06-04,[-1.],[0.]
668,2012-06-05,[-1.],[0.]
669,2012-06-06,[-1.],[0.]
670,2012-06-07,[-1.],[0.]
671,2012-06-08,[-1.],[0.]
672,2012-06-11,[-1.],[0.]
673,2012-06-12,[-1.],[0.]
674,2012-06-13,[-1.],[0.]
675,2012-06-14,[-1.],[0.]
676,2012-06-15,[-1.],[0.]
677,2012-06-18,[-1.],[0.]
678,2012-06-19,[-1.],[0.]
679,2012-06-20,[-1.],[0.]
680,2012-06-21,[-1.],[0.]
681,2012-06-25,[-1.],[0.]
682,2012-06-26,[-1.],[0.]
683,2012-06-27,[-1.],[0.]
684,2012-06-28,[-1.],[0.]
685,2012-06-29,[-1.],[0.]
686,2012-07-02,[-1.],[0.]
687,2012-07-03,[-1.],[0.]
688,2012-07-04,[-1.],[0.]
689,2012-07-05,[-1.],[0.]
690,2012-07-06,[-1.],[0.]
691,2012-07-09,[-1.],[0.]
692,2012-07-10,[-1.],[0.]
693,2012-07-11,[-1.],[0.]
694,2012-07-12,[-1.],[0.]
695,2012-07-13,[-1.],[0.]
696,2012-07-16,[-1.],[0.]
697,2012-07-17,[-1.],[0.]
698,2012-07-18,[-1.],[0.]
699,2012-07-19,[-1.],[0.]
700,2012-07-20,[-1.],[0.]
701,2012-07-23,[-1.],[0.]
702,2012-07-24,[-1.],[0.]
703,2012-07-25,[-1.],[0.]
704,2012-07-26,[-1.],[0.]
705,2012-07-27,[-1.],[0.]
706,2012-07-30,[-1.],[0.]
707,2012-07-31,[-1.],[0.]
708,2012-08-01,[-1.],[0.]
709,2012-08-02,[-1.],[0.]
710,2012-08-03,[-1.],[0.]
711,2012-08-06,[-1.],[0.]
712,2012-08-07,[-1.],[0.]
713,2012-08-08,[-1.],[0.]
714,2012-08-09,[-1.],[0.]
715,2012-08-10,[-1.],[0.]
716,2012-08-13,[-1.],[0.]
717,2012-08-14,[-1.],[0.]
718,2012-08-15,[-1.],[0.]
719,2012-08-16,[-1.],[0.]
720,2012-08-17,[-1.],[0.]
721,2012-08-20,[-1.],[0.]
722,2012-08-21,[-1.],[0.]
723,2012-08-22,[-1.],[0.]
724,2012-08-23,[-1.],[0.]
725,2012-08-24,[-1.],[0.]
726,2012-08-27,[-1.],[0.]
727,2012-08-28,[-1.],[0.]
728,2012-08-29,[-1.],[0.]
